hotspot_cluster,city,state,hotspot_level,hotspot_score,priority,recommendation,recommendation_reason
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Medium,Increase traffic monitoring and enforcement during high-density periods.,Low traffic density is the dominant category at 35.34% of records; threshold used: 35.34%.
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
3,Chandigarh,Punjab,High Risk Hotspot,64.44,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
5,Chandigarh,Punjab,High Risk Hotspot,60.44,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
0,Chandigarh,Punjab,High Risk Hotspot,57.33,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
7,Chandigarh,Punjab,High Risk Hotspot,53.62,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
1,Chandigarh,Punjab,Moderate Hotspot,39.93,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
2,Chandigarh,Punjab,Moderate Hotspot,36.26,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
32,Chandigarh,Punjab,Moderate Hotspot,30.24,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
37,Chandigarh,Punjab,Moderate Hotspot,29.28,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Medium,Prioritize road-safety intervention and speed enforcement.,Fatal accidents represent 14.94% of records; data-driven review threshold: 14.94%.
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
3,Chandigarh,Punjab,High Risk Hotspot,64.44,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
5,Chandigarh,Punjab,High Risk Hotspot,60.44,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
0,Chandigarh,Punjab,High Risk Hotspot,57.33,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
7,Chandigarh,Punjab,High Risk Hotspot,53.62,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
1,Chandigarh,Punjab,Moderate Hotspot,39.93,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
2,Chandigarh,Punjab,Moderate Hotspot,36.26,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
32,Chandigarh,Punjab,Moderate Hotspot,30.24,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
37,Chandigarh,Punjab,Moderate Hotspot,29.28,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Medium,"Evaluate street lighting, nighttime visibility, and nighttime enforcement.",Nighttime accidents represent 41.95% of records using hours before 06:00 or from 20:00; threshold: 41.95%.
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
3,Chandigarh,Punjab,High Risk Hotspot,64.44,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
5,Chandigarh,Punjab,High Risk Hotspot,60.44,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
0,Chandigarh,Punjab,High Risk Hotspot,57.33,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
7,Chandigarh,Punjab,High Risk Hotspot,53.62,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
1,Chandigarh,Punjab,Moderate Hotspot,39.93,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
2,Chandigarh,Punjab,Moderate Hotspot,36.26,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
32,Chandigarh,Punjab,Moderate Hotspot,30.24,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
37,Chandigarh,Punjab,Moderate Hotspot,29.28,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
10,Chandigarh,Punjab,Low Risk Hotspot,19.04,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
34,Chandigarh,Punjab,Low Risk Hotspot,16.74,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
11,Chandigarh,Punjab,Low Risk Hotspot,15.53,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
33,Chandigarh,Punjab,Low Risk Hotspot,12.54,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
30,Chandigarh,Punjab,Low Risk Hotspot,11.98,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
20,Chandigarh,Punjab,Low Risk Hotspot,11.57,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
28,Chandigarh,Punjab,Low Risk Hotspot,10.98,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
29,Chandigarh,Punjab,Low Risk Hotspot,9.01,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
24,Chandigarh,Punjab,Low Risk Hotspot,8.42,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
25,Chandigarh,Punjab,Low Risk Hotspot,8.14,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
17,Chandigarh,Punjab,Low Risk Hotspot,7.43,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
13,Chandigarh,Punjab,Low Risk Hotspot,6.69,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
35,Chandigarh,Punjab,Low Risk Hotspot,5.43,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
36,Chandigarh,Punjab,Low Risk Hotspot,3.71,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
14,Chandigarh,Punjab,Low Risk Hotspot,0.0,Medium,Issue weather-related warnings and improve visibility controls during adverse conditions.,"Adverse-weather records represent 66.55% of accidents; conditions counted: dust, fog, haze, mist, rain, snow, storm; threshold: 66.55%."
8,Chandigarh,Punjab,Critical Hotspot,92.71,High,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
9,Chandigarh,Punjab,High Risk Hotspot,66.43,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
3,Chandigarh,Punjab,High Risk Hotspot,64.44,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
5,Chandigarh,Punjab,High Risk Hotspot,60.44,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
0,Chandigarh,Punjab,High Risk Hotspot,57.33,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
6,Chandigarh,Punjab,High Risk Hotspot,54.06,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
7,Chandigarh,Punjab,High Risk Hotspot,53.62,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
1,Chandigarh,Punjab,Moderate Hotspot,39.93,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
2,Chandigarh,Punjab,Moderate Hotspot,36.26,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
22,Chandigarh,Punjab,Moderate Hotspot,35.65,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
26,Chandigarh,Punjab,Moderate Hotspot,30.5,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
32,Chandigarh,Punjab,Moderate Hotspot,30.24,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
37,Chandigarh,Punjab,Moderate Hotspot,29.28,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
21,Chandigarh,Punjab,Moderate Hotspot,28.94,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
15,Chandigarh,Punjab,Moderate Hotspot,28.81,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
12,Chandigarh,Punjab,Moderate Hotspot,27.16,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
31,Chandigarh,Punjab,Moderate Hotspot,25.25,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
27,Chandigarh,Punjab,Low Risk Hotspot,24.86,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
16,Chandigarh,Punjab,Low Risk Hotspot,23.1,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
23,Chandigarh,Punjab,Low Risk Hotspot,22.97,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
4,Chandigarh,Punjab,Low Risk Hotspot,22.29,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
18,Chandigarh,Punjab,Low Risk Hotspot,22.21,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
19,Pune,Maharashtra,Low Risk Hotspot,20.36,Medium,Prioritize urban road safety inspection and engineering improvements.,The dominant road type is urban at 33.73% of records; threshold: 33.73%.
